     0/299     4.54G    0.1096    0.1037   0.07185    0.2851        78       640  0.008822    0.1143  0.001819 0.0003823   0.08584    0.1111   0.06974
     1/299     4.57G   0.07552   0.09612   0.06713    0.2388        88       640    0.0797    0.5278    0.1154   0.04433   0.05438   0.06972   0.06339
     2/299     4.57G   0.05642   0.07519   0.06213    0.1937       105       640   0.08943    0.5212    0.1403   0.06515   0.04597   0.05585   0.05936
     3/299     4.57G   0.06306    0.0674    0.0604    0.1909        53       640    0.1272    0.4937    0.1687   0.07356   0.05431   0.05388   0.05802
     4/299     4.57G   0.05884   0.06386   0.05934     0.182        55       640    0.2131    0.4503    0.2997    0.1331   0.04128   0.05098   0.05695
     5/299     4.57G   0.05463   0.06431   0.05799    0.1769        77       640    0.2367    0.4255    0.2958    0.1371   0.04503   0.04946   0.05517
     6/299     4.57G   0.05074   0.06117   0.05624    0.1682        76       640    0.2612    0.5566    0.4277    0.2378    0.0331   0.04826   0.05247
     7/299     4.57G   0.04669   0.05879   0.05397    0.1594        69       640    0.2858    0.6034     0.443    0.2177   0.03455   0.04716   0.04945
     8/299     4.57G   0.04526   0.05785   0.05028    0.1534        51       640    0.4941    0.4877    0.4882    0.3308   0.03007   0.04501    0.0442
     9/299     4.57G   0.04692   0.05832   0.04519    0.1504        32       640    0.2076    0.5534    0.3648    0.1638   0.05189   0.05289   0.04117
    10/299     4.57G   0.05276   0.05994   0.04251    0.1552        36       640    0.2609    0.5985    0.5084    0.2546   0.04162   0.04918    0.0379
    11/299     4.57G   0.04821   0.05949   0.03973    0.1474        43       640    0.4309    0.5395    0.5651    0.3316   0.03508   0.04742   0.03552
    12/299     4.57G   0.04603   0.06044   0.03766    0.1441        16       640    0.5729     0.571    0.5882    0.3433   0.04201   0.04801   0.03339
    13/299     4.57G   0.04647    0.0599   0.03527    0.1416        59       640    0.4522    0.6422    0.6434    0.3471   0.03967   0.04665   0.03106
    14/299     4.57G   0.04237   0.05679   0.03237    0.1315        55       640    0.5122    0.7052    0.6979    0.3356   0.04126   0.04724   0.02835
    15/299     4.57G   0.04149   0.05541   0.03031    0.1272        19       640    0.7069    0.6594    0.7573    0.4418    0.0362   0.04591   0.02708
    16/299     4.57G   0.04475   0.05755   0.02904    0.1313        28       640    0.6795    0.6996    0.7763     0.449   0.03425   0.04614   0.02522
    17/299     4.57G   0.04476   0.05935   0.02695     0.131        38       640    0.7837    0.7165    0.8375    0.4632   0.03528   0.04593   0.02318
    18/299     4.57G   0.04376   0.05742   0.02451    0.1257        22       640    0.8807    0.8093    0.9089    0.5447   0.03042   0.04395   0.02078
    19/299     4.57G   0.04259   0.05521   0.02265    0.1205        45       640     0.842    0.8116    0.8882    0.4295   0.04315   0.04726    0.0192
    20/299     4.57G   0.04114   0.05517   0.02065     0.117        27       640    0.7503    0.8717    0.8967    0.4822   0.03705   0.04535   0.01749
    21/299     4.57G   0.03902   0.05312   0.01884     0.111        50       640    0.8978    0.9124    0.9453    0.5692   0.03218   0.04443   0.01503
    22/299     4.57G   0.03728   0.05338   0.01666    0.1073        43       640    0.9123    0.9505    0.9633    0.6895   0.02698   0.04241   0.01335
    23/299     4.57G   0.03608   0.05232   0.01488    0.1033        49       640    0.8964    0.9512    0.9614    0.6386   0.02806    0.0426   0.01175
    24/299     4.57G   0.03602   0.05431   0.01383    0.1042       101       640    0.9431    0.9661     0.969    0.5637   0.03516   0.04445   0.01062
    25/299     4.57G   0.03414   0.05372   0.01242    0.1003        19       640    0.9543    0.9762    0.9756    0.6947   0.02827   0.04247  0.009502
    26/299     4.57G   0.03352   0.05209   0.01154   0.09715        64       640    0.9587    0.9682    0.9773    0.7021   0.02379   0.04118  0.009012
    27/299     4.57G   0.03442    0.0504   0.01072   0.09554        68       640    0.9678      0.99    0.9773    0.6332   0.02766   0.04152  0.007846
    28/299     4.57G   0.03371   0.05328   0.01009   0.09708        58       640    0.9715    0.9921    0.9772    0.6941   0.02641   0.04072  0.007385
    29/299     4.57G   0.03007   0.05004  0.009378   0.08949        30       640    0.9711    0.9902    0.9792    0.7469   0.02294   0.03988  0.006894
    30/299     4.57G   0.03237   0.05071  0.008818   0.09191        58       640    0.9749     0.989    0.9771    0.7399    0.0223   0.03956  0.006412
    31/299     4.57G   0.03053   0.05175  0.008725     0.091        23       640    0.9714    0.9917    0.9787    0.7209   0.02503   0.04024  0.006209
    32/299     4.57G   0.02986   0.05263  0.008015   0.09051        73       640    0.9742     0.992    0.9754    0.7419    0.0232   0.04079  0.005756
    33/299     4.57G   0.02856   0.04984  0.008104   0.08651        21       640    0.9741     0.994    0.9756    0.7211   0.02474   0.04034  0.005549
    34/299     4.57G   0.03047   0.05102  0.007639   0.08913        60       640    0.9703    0.9907    0.9791    0.7369   0.02189    0.0392  0.005687
    35/299     4.57G   0.03065   0.05035  0.007251   0.08825        25       640    0.9764     0.994    0.9782    0.7421   0.02334   0.03952  0.005265
